type_code,census_blockgroup,lang_match
666,60750313023,cantonese
667,60750313023,no_match
668,60750313023,spanish
669,60750314001,cantonese
670,60750314001,no_match
671,60750314002,cantonese
672,60750314002,no_match
673,60750314002,spanish
674,60750314003,cantonese
675,60750314003,no_match
676,60750314004,cantonese
677,60750314004,no_match
678,60750314004,spanish
679,60750314005,cantonese
680,60750314005,no_match
681,60750326011,cantonese
682,60750326011,no_match
683,60750326012,cantonese
684,60750326012,no_match
685,60750326013,cantonese
686,60750326013,no_match
687,60750326021,cantonese
688,60750326021,no_match
689,60750326021,spanish
690,60750326022,cantonese
691,60750326022,no_match
692,60750326023,no_match
693,60750327001,cantonese
694,60750327001,no_match
695,60750327002,no_match
696,60750327003,cantonese
697,60750327003,no_match
698,60750327004,no_match
699,60750327005,cantonese
700,60750327005,no_match
701,60750327006,no_match
702,60750327007,cantonese
703,60750327007,no_match
704,60750328011,cantonese
705,60750328011,no_match
706,60750328012,cantonese
707,60750328012,no_match
708,60750328013,no_match
709,60750328021,cantonese
710,60750328021,no_match
711,60750328021,spanish
712,60750328022,cantonese
713,60750328022,no_match
714,60750328023,cantonese
715,60750328023,no_match
716,60750329011,cantonese
717,60750329011,no_match
718,60750329012,no_match
719,60750329013,cantonese
720,60750329013,no_match
721,60750329014,cantonese
722,60750329014,no_match
723,60750329021,cantonese
724,60750329021,no_match
725,60750329022,no_match
726,60750329023,cantonese
727,60750329023,no_match
728,60750330001,no_match
729,60750330001,spanish
730,60750330002,cantonese
731,60750330002,no_match
732,60750330003,cantonese
733,60750330003,no_match
734,60750330004,cantonese
735,60750330004,no_match
736,60750330005,cantonese
737,60750330005,no_match
738,60750330006,cantonese
739,60750330006,no_match
740,60750331001,cantonese
741,60750331003,cantonese
742,60750331003,no_match
743,60750331004,cantonese
744,60750331004,no_match
745,60750332011,no_match
746,60750332011,spanish
747,60750332031,cantonese
748,60750332031,no_match
749,60750332032,no_match
750,60750332041,no_match
751,60750332042,no_match
752,60750332042,spanish
753,60750332043,no_match
754,60750351001,no_match
755,60750351002,cantonese
756,60750351002,no_match
757,60750351003,cantonese
758,60750351003,no_match
759,60750351004,cantonese
760,60750351004,no_match
761,60750351005,no_match
762,60750351005,spanish
763,60750351006,no_match
764,60750351007,no_match
765,60750352011,no_match
766,60750352012,no_match
767,60750352013,no_match
768,60750352014,cantonese
769,60750352014,no_match
770,60750352015,no_match
771,60750352021,cantonese
772,60750352021,no_match
773,60750352022,cantonese
774,60750352022,no_match
775,60750352023,no_match
776,60750353001,cantonese
777,60750353001,no_match
778,60750353002,cantonese
779,60750353002,no_match
780,60750353003,cantonese
781,60750353003,no_match
782,60750353004,cantonese
783,60750353004,no_match
784,60750353005,no_match
785,60750353006,cantonese
786,60750353006,no_match
787,60750354001,cantonese
788,60750354001,no_match
789,60750354002,cantonese
790,60750354002,no_match
791,60750354003,no_match
792,60750354004,cantonese
793,60750354004,no_match
794,60750354005,cantonese
795,60750354005,no_match
796,60750354005,spanish
797,60750401001,cantonese
