Geocode,Weight,Area
263,5.4023159971,0.0438622484
264,7.9613077852,0.0392779793
265,11.9419616779,0.0878971409
266,2.843324209,0.0649060357
267,11.0889644152,0.0532301602
268,4.8336511553,0.0484385461
269,0.5686648418,0.0250502498
270,1.7101467411,0.0709879382
271,12.826100558,0.038017904
272,0.2850244568,0.0426745075
273,9.6908315327,0.0389754732
274,22.5169320906,0.0824339693
275,2.5652201116,0.0350027526
276,14.500953466,0.0444487827
279,1.9903269463,0.0189477083
280,0.8529972627,0.0369148808
281,10.8046319943,0.0729080726
282,1.1373296836,0.0582869666
283,0.8510476162,0.0792283062
284,5.1304402232,0.1003642962
285,16.8164429538,0.0619595146
286,1.7101467411,0.0531753046
287,1.9903269463,0.0574392264
288,5.1179835762,0.0779366425
289,8.2456402061,0.0993561588
290,0.2843324209,0.0822797103
291,6.8239781016,0.1015652643
292,1.4216621045,0.0855938621
293,2.5589917881,0.0641049922
294,4.2649863135,0.0438950695
295,2.843324209,0.0347428842
296,5.9709808389,0.0712949435
297,7.3926429434,0.0563873709
298,7.1083105225,0.0514896472
299,1.1373296836,0.0180740977
